"","cycle","state","state_abb","party","vote_share","total_votes","election_day","incumbant_party","winning_party","state_winner","run_date"
"52",1948,"Maryland","MD","dem",0.480147804301742,286521,1948-11-07,"dem","dem","rep",2021-01-18
"53",1948,"Maryland","MD","rep",0.494045095394103,294814,1948-11-07,"dem","dem","rep",2021-01-18
"54",1948,"Maryland","MD","other",0.0258071003041551,15400,1948-11-07,"dem","dem","rep",2021-01-18
"55",1948,"Massachusetts","MA","dem",0.546610438953922,1151788,1948-11-07,"dem","dem","dem",2021-01-18
"56",1948,"Massachusetts","MA","rep",0.431564780038972,909370,1948-11-07,"dem","dem","dem",2021-01-18
"57",1948,"Massachusetts","MA","other",0.0218247810071063,45988,1948-11-07,"dem","dem","dem",2021-01-18
"58",1948,"Michigan","MI","dem",0.475655915385268,1003448,1948-11-07,"dem","dem","rep",2021-01-18
"59",1948,"Michigan","MI","rep",0.492316348669351,1038595,1948-11-07,"dem","dem","rep",2021-01-18
"60",1948,"Michigan","MI","other",0.0320277359453814,67566,1948-11-07,"dem","dem","rep",2021-01-18
"61",1948,"Minnesota","MN","dem",0.571647531070939,692966,1948-11-07,"dem","dem","dem",2021-01-18
"62",1948,"Minnesota","MN","rep",0.398949535812629,483617,1948-11-07,"dem","dem","dem",2021-01-18
"63",1948,"Minnesota","MN","other",0.0294029331164321,35643,1948-11-07,"dem","dem","dem",2021-01-18
"64",1948,"Mississippi","MS","dem",0.100858525417556,19384,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"65",1948,"Mississippi","MS","rep",0.0262396586711067,5043,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"66",1948,"Mississippi","MS","other",0.872901815911338,167763,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"67",1948,"Missouri","MO","dem",0.581083700529827,917315,1948-11-07,"dem","dem","dem",2021-01-18
"68",1948,"Missouri","MO","rep",0.4149419622609,655039,1948-11-07,"dem","dem","dem",2021-01-18
"69",1948,"Missouri","MO","other",0.00397433720927286,6274,1948-11-07,"dem","dem","dem",2021-01-18
"70",1948,"Montana","MT","dem",0.530908069449523,119071,1948-11-07,"dem","dem","dem",2021-01-18
"71",1948,"Montana","MT","rep",0.431473439213833,96770,1948-11-07,"dem","dem","dem",2021-01-18
"72",1948,"Montana","MT","other",0.0376184913366447,8437,1948-11-07,"dem","dem","dem",2021-01-18
"73",1948,"National","NAT","dem",0.495544071566038,24179347,1948-11-07,"dem","dem","dem",2021-01-18
"74",1948,"National","NAT","rep",0.450700938146826,21991292,1948-11-07,"dem","dem","dem",2021-01-18
"75",1948,"National","NAT","other",0.0537549902871354,2622896,1948-11-07,"dem","dem","dem",2021-01-18
"76",1948,"Nebraska","NE","dem",0.45847138708226,224165,1948-11-07,"dem","dem","rep",2021-01-18
"77",1948,"Nebraska","NE","rep",0.541526567677016,264774,1948-11-07,"dem","dem","rep",2021-01-18
"78",1948,"Nebraska","NE","other",0.00000204524072483331,1,1948-11-07,"dem","dem","rep",2021-01-18
"79",1948,"Nevada","NV","dem",0.503742936716197,31291,1948-11-07,"dem","dem","dem",2021-01-18
"80",1948,"Nevada","NV","rep",0.472608142698456,29357,1948-11-07,"dem","dem","dem",2021-01-18
"81",1948,"Nevada","NV","other",0.023648920585347,1469,1948-11-07,"dem","dem","dem",2021-01-18
"82",1948,"New Hampshire","NH","dem",0.466622018665745,107995,1948-11-07,"dem","dem","rep",2021-01-18
"83",1948,"New Hampshire","NH","rep",0.52410559972347,121299,1948-11-07,"dem","dem","rep",2021-01-18
"84",1948,"New Hampshire","NH","other",0.00927238161078465,2146,1948-11-07,"dem","dem","rep",2021-01-18
"85",1948,"New Jersey","NJ","dem",0.459312509777872,895455,1948-11-07,"dem","dem","rep",2021-01-18
"86",1948,"New Jersey","NJ","rep",0.503255358274068,981124,1948-11-07,"dem","dem","rep",2021-01-18
"87",1948,"New Jersey","NJ","other",0.0374321319480599,72976,1948-11-07,"dem","dem","rep",2021-01-18
"88",1948,"New Mexico","NM","dem",0.563788670127176,105464,1948-11-07,"dem","dem","dem",2021-01-18
"89",1948,"New Mexico","NM","rep",0.429283182671079,80303,1948-11-07,"dem","dem","dem",2021-01-18
"90",1948,"New Mexico","NM","other",0.00692814720174487,1296,1948-11-07,"dem","dem","dem",2021-01-18
"91",1948,"New York","NY","dem",0.450065133244309,2780204,1948-11-07,"dem","dem","rep",2021-01-18
"92",1948,"New York","NY","rep",0.459933301356232,2841163,1948-11-07,"dem","dem","rep",2021-01-18
"93",1948,"New York","NY","other",0.0900015653994593,555970,1948-11-07,"dem","dem","rep",2021-01-18
"94",1948,"North Carolina","NC","dem",0.580213319110374,459070,1948-11-07,"dem","dem","dem",2021-01-18
"95",1948,"North Carolina","NC","rep",0.326806191537255,258572,1948-11-07,"dem","dem","dem",2021-01-18
"96",1948,"North Carolina","NC","other",0.0929804893523709,73567,1948-11-07,"dem","dem","dem",2021-01-18
"97",1948,"North Dakota","ND","dem",0.43409630475362,95812,1948-11-07,"dem","dem","rep",2021-01-18
"98",1948,"North Dakota","ND","rep",0.521661320429874,115139,1948-11-07,"dem","dem","rep",2021-01-18
"99",1948,"North Dakota","ND","other",0.0442423748165063,9765,1948-11-07,"dem","dem","rep",2021-01-18
"100",1948,"Ohio","OH","dem",0.494807857166942,1452791,1948-11-07,"dem","dem","dem",2021-01-18
"101",1948,"Ohio","OH","rep",0.492387275375834,1445684,1948-11-07,"dem","dem","dem",2021-01-18
"102",1948,"Ohio","OH","other",0.0128048674572243,37596,1948-11-07,"dem","dem","dem",2021-01-18
"103",1948,"Oklahoma","OK","dem",0.62747038174942,452782,1948-11-07,"dem","dem","dem",2021-01-18
"104",1948,"Oklahoma","OK","rep",0.37252961825058,268817,1948-11-07,"dem","dem","dem",2021-01-18
"105",1948,"Oklahoma","OK","other",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"106",1948,"Oregon","OR","dem",0.463950160280873,243147,1948-11-07,"dem","dem","rep",2021-01-18
"107",1948,"Oregon","OR","rep",0.497832392001221,260904,1948-11-07,"dem","dem","rep",2021-01-18
"108",1948,"Oregon","OR","other",0.0382174477179057,20029,1948-11-07,"dem","dem","rep",2021-01-18
"109",1948,"Pennsylvania","PA","dem",0.46917177043587,1752426,1948-11-07,"dem","dem","rep",2021-01-18
"110",1948,"Pennsylvania","PA","rep",0.5092695122121,1902197,1948-11-07,"dem","dem","rep",2021-01-18
