"","cycle","state","spread"
"135",1984,"Mississippi",0.244590395960489
"136",1984,"Missouri",0.20049501335754
"137",1984,"Montana",0.222979002385679
"138",1984,"National",0.182256341628962
"139",1984,"Nebraska",0.417408639911669
"140",1984,"Nevada",0.343506050219831
"141",1984,"New Hampshire",0.3772216279596
"142",1984,"New Jersey",0.208929717930725
"143",1984,"New Mexico",0.204778661274958
"144",1984,"New York",0.0800894986050729
"145",1984,"North Carolina",0.240049352728122
"146",1984,"North Dakota",0.31040777289778
"147",1984,"Ohio",0.186954868640339
"148",1984,"Oklahoma",0.379437052233219
"149",1984,"Oregon",0.121661406556888
"150",1984,"Pennsylvania",0.0735189125561441
"151",1984,"Rhode Island",0.0364784440021539
"152",1984,"South Carolina",0.279888366791289
"153",1984,"South Dakota",0.264745947204334
"154",1984,"Tennessee",0.162674730562567
"155",1984,"Texas",0.274966647034379
"156",1984,"Utah",0.498265719694563
"157",1984,"Vermont",0.171106876249675
"158",1984,"Virginia",0.251942225855816
"159",1984,"Washington",0.135109418585426
"160",1984,"West Virginia",0.105142835396104
"161",1984,"Wisconsin",0.091714522249737
"162",1984,"Wyoming",0.422669446678803
"163",1988,"Alabama",0.193017506289555
"164",1988,"Alaska",0.233199744148394
"165",1988,"Arizona",0.212063935255783
"166",1988,"Arkansas",0.141761040329186
"167",1988,"California",0.035671253299133
"168",1988,"Colorado",0.077764840126086
"169",1988,"Connecticut",0.051030418582868
"170",1988,"Delaware",0.1240220736241
"171",1988,"District of Columbia",-0.683425188073228
"172",1988,"Florida",0.223643421573465
"173",1988,"Georgia",0.202544438992259
"174",1988,"Hawaii",-0.095183955357571
"175",1988,"Idaho",0.260678097063829
"176",1988,"Illinois",0.0208371352366239
"177",1988,"Indiana",0.201565879884037
"178",1988,"Iowa",-0.102154511942586
"179",1988,"Kansas",0.132333511908838
"180",1988,"Kentucky",0.116378844279507
"181",1988,"Louisiana",0.102101581990441
"182",1988,"Maine",0.114518904213248
"183",1988,"Maine CD-1",0.114518904213248
"184",1988,"Maine CD-2",0.114518904213248
"185",1988,"Maryland",0.029085523560423
"186",1988,"Massachusetts",-0.078539927628408
"187",1988,"Michigan",0.078956154305491
"188",1988,"Minnesota",-0.07017107101808
"189",1988,"Mississippi",0.20822692203232
"190",1988,"Missouri",0.0398112389094741
"191",1988,"Montana",0.058729906966314
"192",1988,"National",0.0772800553383239
"193",1988,"Nebraska",0.209717823316426
"194",1988,"Nevada",0.213625620386265
"195",1988,"New Hampshire",0.261563731202486
"196",1988,"New Jersey",0.136419670836408
"197",1988,"New Mexico",0.049567787459219
"198",1988,"New York",-0.041015109742489
"199",1988,"North Carolina",0.162619883150532
"200",1988,"North Dakota",0.13059230776994
"201",1988,"Ohio",0.108549168845032
"202",1988,"Oklahoma",0.16647139797581
"203",1988,"Oregon",-0.046667454443478
"204",1988,"Pennsylvania",0.023178391142818
"205",1988,"Rhode Island",-0.117052458838125
"206",1988,"South Carolina",0.239236153016859
"207",1988,"South Dakota",0.063436328840127
"208",1988,"Tennessee",0.163446294881589
"209",1988,"Texas",0.126041887382748
"210",1988,"Utah",0.34172529551412
"211",1988,"Vermont",0.035162414518674
"212",1988,"Virginia",0.2050379424432
"213",1988,"Washington",-0.015912586657145
"214",1988,"West Virginia",-0.047375599063846
"215",1988,"Wisconsin",-0.036181196637355
"216",1988,"Wyoming",0.225170064174092
"217",1992,"Alabama",0.067653400945464
"218",1992,"Alaska",0.091703867608488
"219",1992,"Arizona",0.01952689184418
"220",1992,"Arkansas",-0.17724553543722
"221",1992,"California",-0.133919184643596
"222",1992,"Colorado",-0.04258976025695
"223",1992,"Connecticut",-0.064353317377778
"224",1992,"Delaware",-0.081972930046268
"225",1992,"District of Columbia",-0.755457613414656
"226",1992,"Florida",0.019123753715141
"227",1992,"Georgia",-0.00590832149644199
"228",1992,"Hawaii",-0.113957118564968
