"","cycle","state","state_abb","party","vote_share","total_votes","election_day","incumbant_party","winning_party","state_winner","run_date"
"52",1976,"Kentucky","KY","dem",0.527542492687265,615717,"1976-11-02","rep","dem","dem",2021-01-11
"53",1976,"Kentucky","KY","rep",0.455687482757025,531852,"1976-11-02","rep","dem","dem",2021-01-11
"54",1976,"Kentucky","KY","other",0.0167700245557096,19573,"1976-11-02","rep","dem","dem",2021-01-11
"55",1976,"Louisiana","LA","dem",0.51774996222746,661364.999999999,"1976-11-02","rep","dem","dem",2021-01-11
"56",1976,"Louisiana","LA","rep",0.459882431502533,587446,"1976-11-02","rep","dem","dem",2021-01-11
"57",1976,"Louisiana","LA","other",0.0223676062700067,28572,"1976-11-02","rep","dem","dem",2021-01-11
"58",1976,"Maine","ME","dem",0.480940766261947,232279,"1976-11-02","rep","dem","rep",2021-01-11
"59",1976,"Maine","ME","rep",0.489307780225605,236320,"1976-11-02","rep","dem","rep",2021-01-11
"60",1976,"Maine","ME","other",0.029751453512448,14369,"1976-11-02","rep","dem","rep",2021-01-11
"61",1976,"Maine CD-1","ME-1","dem",0.479205034060553,123598,"1976-11-02","rep","dem","rep",2021-01-11
"62",1976,"Maine CD-1","ME-1","rep",0.492468682513773,127019,"1976-11-02","rep","dem","rep",2021-01-11
"63",1976,"Maine CD-1","ME-1","other",0.0283262834256736,7306.00000000001,"1976-11-02","rep","dem","rep",2021-01-11
"64",1976,"Maine CD-2","ME-2","dem",0.482930080650537,108681,"1976-11-02","rep","dem","rep",2021-01-11
"65",1976,"Maine CD-2","ME-2","rep",0.485685085205181,109301,"1976-11-02","rep","dem","rep",2021-01-11
"66",1976,"Maine CD-2","ME-2","other",0.0313848341442823,7063.00000000001,"1976-11-02","rep","dem","rep",2021-01-11
"67",1976,"Maryland","MD","dem",0.530354199234364,759612,"1976-11-02","rep","dem","dem",2021-01-11
"68",1976,"Maryland","MD","rep",0.469645800765636,672661,"1976-11-02","rep","dem","dem",2021-01-11
"69",1976,"Maryland","MD","other",0,0,"1976-11-02","rep","dem","dem",2021-01-11
"70",1976,"Massachusetts","MA","dem",0.561115782251081,1429475,"1976-11-02","rep","dem","dem",2021-01-11
"71",1976,"Massachusetts","MA","rep",0.404417092760989,1030276,"1976-11-02","rep","dem","dem",2021-01-11
"72",1976,"Massachusetts","MA","other",0.0344671249879296,87807,"1976-11-02","rep","dem","dem",2021-01-11
"73",1976,"Michigan","MI","dem",0.464650741183977,1696714,"1976-11-02","rep","dem","rep",2021-01-11
"74",1976,"Michigan","MI","rep",0.518607510700818,1893742,"1976-11-02","rep","dem","rep",2021-01-11
"75",1976,"Michigan","MI","other",0.0167417481152046,61134,"1976-11-02","rep","dem","rep",2021-01-11
"76",1976,"Minnesota","MN","dem",0.548963014588721,1070440,"1976-11-02","rep","dem","dem",2021-01-11
"77",1976,"Minnesota","MN","rep",0.420217433334821,819395.000000001,"1976-11-02","rep","dem","dem",2021-01-11
"78",1976,"Minnesota","MN","other",0.0306441612549367,59754,"1976-11-02","rep","dem","dem",2021-01-11
"79",1976,"Mississippi","MS","dem",0.496270123244707,381329,"1976-11-02","rep","dem","dem",2021-01-11
"80",1976,"Mississippi","MS","rep",0.477421621832663,366846,"1976-11-02","rep","dem","dem",2021-01-11
"81",1976,"Mississippi","MS","other",0.0263082549226304,20215,"1976-11-02","rep","dem","dem",2021-01-11
"82",1976,"Missouri","MO","dem",0.511049856674857,998387.000000001,"1976-11-02","rep","dem","dem",2021-01-11
"83",1976,"Missouri","MO","rep",0.47473536036036,927442.999999999,"1976-11-02","rep","dem","dem",2021-01-11
"84",1976,"Missouri","MO","other",0.014214782964783,27770.0000000001,"1976-11-02","rep","dem","dem",2021-01-11
"85",1976,"Montana","MT","dem",0.454041869718374,149259,"1976-11-02","rep","dem","rep",2021-01-11
"86",1976,"Montana","MT","rep",0.528399861286025,173703,"1976-11-02","rep","dem","rep",2021-01-11
"87",1976,"Montana","MT","other",0.0175582689956013,5772,"1976-11-02","rep","dem","rep",2021-01-11
"88",1976,"Nebraska","NE","dem",0.384496719401268,233293,"1976-11-02","rep","dem","rep",2021-01-11
"89",1976,"Nebraska","NE","rep",0.592038882635159,359219,"1976-11-02","rep","dem","rep",2021-01-11
"90",1976,"Nebraska","NE","other",0.0234643979635731,14237,"1976-11-02","rep","dem","rep",2021-01-11
"91",1976,"Nevada","NV","dem",0.458098040381224,92479,"1976-11-02","rep","dem","rep",2021-01-11
"92",1976,"Nevada","NV","rep",0.501659434504349,101273,"1976-11-02","rep","dem","rep",2021-01-11
"93",1976,"Nevada","NV","other",0.0402425251144267,8124,"1976-11-02","rep","dem","rep",2021-01-11
"94",1976,"New Hampshire","NH","dem",0.434726921004514,147645,"1976-11-02","rep","dem","rep",2021-01-11
