"","cycle","state","state_abb","party","vote_share","total_votes","election_day","incumbant_party","winning_party","state_winner","run_date"
"52",1948,"Georgia","GA","progressive",0.00390673505840999,1636,1948-11-07,"dem","dem","dem",2021-01-18
"53",1948,"Georgia","GA","socialist",0.00000716393959366135,3,1948-11-07,"dem","dem","dem",2021-01-18
"54",1948,"Georgia","GA","other",0.00175038924071792,733,1948-11-07,"dem","dem","dem",2021-01-18
"55",1948,"Idaho","ID","dem",0.499823104424251,107370,1948-11-07,"dem","dem","dem",2021-01-18
"56",1948,"Idaho","ID","rep",0.472562565172054,101514,1948-11-07,"dem","dem","dem",2021-01-18
"57",1948,"Idaho","ID","dixiecrat",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"58",1948,"Idaho","ID","progressive",0.0231453895426784,4972,1948-11-07,"dem","dem","dem",2021-01-18
"59",1948,"Idaho","ID","socialist",0.00154550871443468,332,1948-11-07,"dem","dem","dem",2021-01-18
"60",1948,"Idaho","ID","other",0.00292343214658126,628,1948-11-07,"dem","dem","dem",2021-01-18
"61",1948,"Illinois","IL","dem",0.500675695009546,1994715,1948-11-07,"dem","dem","dem",2021-01-18
"62",1948,"Illinois","IL","rep",0.492239045432708,1961103,1948-11-07,"dem","dem","dem",2021-01-18
"63",1948,"Illinois","IL","dixiecrat",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"64",1948,"Illinois","IL","progressive",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"65",1948,"Illinois","IL","socialist",0.00289203488112336,11522,1948-11-07,"dem","dem","dem",2021-01-18
"66",1948,"Illinois","IL","other",0.00419322467662271,16706,1948-11-07,"dem","dem","dem",2021-01-18
"67",1948,"Indiana","IN","dem",0.487758828267362,807833,1948-11-07,"dem","dem","rep",2021-01-18
"68",1948,"Indiana","IN","rep",0.495756587011099,821079,1948-11-07,"dem","dem","rep",2021-01-18
"69",1948,"Indiana","IN","dixiecrat",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"70",1948,"Indiana","IN","progressive",0.00582593795246266,9649,1948-11-07,"dem","dem","rep",2021-01-18
"71",1948,"Indiana","IN","socialist",0.00131565123830616,2179,1948-11-07,"dem","dem","rep",2021-01-18
"72",1948,"Indiana","IN","other",0.00934299553077078,15474,1948-11-07,"dem","dem","rep",2021-01-18
"73",1948,"Iowa","IA","dem",0.503128298775649,522380,1948-11-07,"dem","dem","dem",2021-01-18
"74",1948,"Iowa","IA","rep",0.47581154696686,494018,1948-11-07,"dem","dem","dem",2021-01-18
"75",1948,"Iowa","IA","dixiecrat",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"76",1948,"Iowa","IA","progressive",0.0116781473690699,12125,1948-11-07,"dem","dem","dem",2021-01-18
"77",1948,"Iowa","IA","socialist",0.00176159435365186,1829,1948-11-07,"dem","dem","dem",2021-01-18
"78",1948,"Iowa","IA","other",0.00762041253476958,7912,1948-11-07,"dem","dem","dem",2021-01-18
"79",1948,"Kansas","KS","dem",0.446112479542202,351902,1948-11-07,"dem","dem","rep",2021-01-18
"80",1948,"Kansas","KS","rep",0.53629413084624,423039,1948-11-07,"dem","dem","rep",2021-01-18
"81",1948,"Kansas","KS","dixiecrat",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"82",1948,"Kansas","KS","progressive",0.00583530569116616,4603,1948-11-07,"dem","dem","rep",2021-01-18
"83",1948,"Kansas","KS","socialist",0.00355848426571875,2807,1948-11-07,"dem","dem","rep",2021-01-18
"84",1948,"Kansas","KS","other",0.00819959965467363,6468,1948-11-07,"dem","dem","rep",2021-01-18
"85",1948,"Kentucky","KY","dem",0.567375507197402,466756,1948-11-07,"dem","dem","dem",2021-01-18
"86",1948,"Kentucky","KY","rep",0.414765309521089,341210,1948-11-07,"dem","dem","dem",2021-01-18
"87",1948,"Kentucky","KY","dixiecrat",0.012655319707582,10411,1948-11-07,"dem","dem","dem",2021-01-18
"88",1948,"Kentucky","KY","progressive",0.00190480126613976,1567,1948-11-07,"dem","dem","dem",2021-01-18
"89",1948,"Kentucky","KY","socialist",0.00156079440058931,1284,1948-11-07,"dem","dem","dem",2021-01-18
"90",1948,"Kentucky","KY","other",0.00173826790719837,1430,1948-11-07,"dem","dem","dem",2021-01-18
"91",1948,"Louisiana","LA","dem",0.327485492486838,136344,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"92",1948,"Louisiana","LA","rep",0.174515295338381,72657,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"93",1948,"Louisiana","LA","dixiecrat",0.490685407939741,204290,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"94",1948,"Louisiana","LA","progressive",0.0072897851735137,3035,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"95",1948,"Louisiana","LA","socialist",0,0,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"96",1948,"Louisiana","LA","other",0.000024019061527228,10,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"97",1948,"Maine","ME","dem",0.42266425466507,111916,1948-11-07,"dem","dem","rep",2021-01-18
"98",1948,"Maine","ME","rep",0.567376797199258,150234,1948-11-07,"dem","dem","rep",2021-01-18
"99",1948,"Maine","ME","dixiecrat",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"100",1948,"Maine","ME","progressive",0.00711515293424526,1884,1948-11-07,"dem","dem","rep",2021-01-18
"101",1948,"Maine","ME","socialist",0.00206581138802132,547,1948-11-07,"dem","dem","rep",2021-01-18
"102",1948,"Maine","ME","other",0.000777983813404737,206,1948-11-07,"dem","dem","rep",2021-01-18
"103",1948,"Maryland","MD","dem",0.480147804301742,286521,1948-11-07,"dem","dem","rep",2021-01-18
"104",1948,"Maryland","MD","rep",0.494045095394103,294814,1948-11-07,"dem","dem","rep",2021-01-18
"105",1948,"Maryland","MD","dixiecrat",0.00414924547747325,2476,1948-11-07,"dem","dem","rep",2021-01-18
"106",1948,"Maryland","MD","progressive",0.0167293689828819,9983,1948-11-07,"dem","dem","rep",2021-01-18
"107",1948,"Maryland","MD","socialist",0.00492848584380001,2941,1948-11-07,"dem","dem","rep",2021-01-18
"108",1948,"Maryland","MD","other",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"109",1948,"Massachusetts","MA","dem",0.546610438953922,1151788,1948-11-07,"dem","dem","dem",2021-01-18
"110",1948,"Massachusetts","MA","rep",0.431564780038972,909370,1948-11-07,"dem","dem","dem",2021-01-18
