"","run_date","cycle","state","spread_mu","spread_se","spread_t_dist","spread_start","spread_end","spread_z"
"1",2021-01-11,2024,"Alabama",0.318415641197618,0.0518457535212482,0.0939684126401389,0.224447228557479,0.412384053837756,1.81246112281168
"2",2021-01-11,2024,"Alaska",0.129942833509089,0.0460135872386537,0.0833978379911633,0.0465449955179258,0.213340671500252,1.81246112281168
"3",2021-01-11,2024,"Arizona",-0.0295125993019756,0.0566118610508389,0.102606797244662,-0.132119396546638,0.0730941979426864,1.81246112281168
"4",2021-01-11,2024,"Arkansas",0.301961865403701,0.0944369155663096,0.171163238022185,0.130798627381516,0.473125103425886,1.81246112281168
"5",2021-01-11,2024,"California",-0.361464382978841,0.0444020122937947,0.0804769210571089,-0.44194130403595,-0.280987461921732,1.81246112281168
"6",2021-01-11,2024,"Colorado",-0.145569002785459,0.0484999828176374,0.087904333314002,-0.233473336099461,-0.057664669471457,1.81246112281168
"7",2021-01-11,2024,"Connecticut",-0.276718381440917,0.0537220677138195,0.0973691591683542,-0.374087540609271,-0.179349222272563,1.81246112281168
"8",2021-01-11,2024,"Delaware",-0.239023652348221,0.0613288730100862,0.111156198036635,-0.350179850384857,-0.127867454311586,1.81246112281168
"9",2021-01-11,2024,"District of Columbia",-0.911094096705281,0.0160474446961547,0.0290853696322508,-0.940179466337531,-0.88200872707303,1.81246112281168
"10",2021-01-11,2024,"Florida",-0.0304275965447252,0.0678911104499808,0.123049998275104,-0.153477594819829,0.0926224017303786,1.81246112281168
"11",2021-01-11,2024,"Georgia",0.134304966695176,0.0922376445439752,0.167177144795678,-0.0328721781005019,0.301482111490853,1.81246112281168
"12",2021-01-11,2024,"Hawaii",-0.429516444692005,0.0654554473015505,0.118635453510309,-0.548151898202314,-0.310880991181697,1.81246112281168
"13",2021-01-11,2024,"Idaho",0.303771955803263,0.0625280482542692,0.113329656546155,0.190442299257107,0.417101612349418,1.81246112281168
"14",2021-01-11,2024,"Illinois",-0.260619632315722,0.0459848061696531,0.0833456734225267,-0.343965305738248,-0.177273958893195,1.81246112281168
"15",2021-01-11,2024,"Indiana",0.124391595193122,0.0493285450153202,0.0894060700851335,0.0349855251079887,0.213797665278256,1.81246112281168
"16",2021-01-11,2024,"Iowa",-0.00452311921205861,0.053102308704473,0.0962458700584014,-0.10076898927046,0.0917227508463428,1.81246112281168
"17",2021-01-11,2024,"Kansas",0.190720313081365,0.0509760909905837,0.0923921831133434,0.0983281299680219,0.283112496194709,1.81246112281168
"18",2021-01-11,2024,"Kentucky",0.29556610958219,0.0514682341518553,0.0932841734600059,0.202281936122184,0.388850283042195,1.81246112281168
"19",2021-01-11,2024,"Louisiana",0.20191026531873,0.0628974288196131,0.113999144460363,0.0879111208583669,0.315909409779094,1.81246112281168
"20",2021-01-11,2024,"Maine",-0.167690291735765,0.064930285911919,0.1176836189084,-0.285373910644165,-0.050006672827365,1.81246112281168
"21",2021-01-11,2024,"Maine CD-1",-0.270516070859225,0.054559168604118,0.0988863719878912,-0.369402442847116,-0.171629698871334,1.81246112281168
"22",2021-01-11,2024,"Maine CD-2",-0.0522846284756948,0.081485085866642,0.14768855022226,-0.199973178697955,0.0954039217465649,1.81246112281168
"23",2021-01-11,2024,"Maryland",-0.340235149469208,0.0358519927926556,0.0649803431120127,-0.405215492581221,-0.275254806357196,1.81246112281168
"24",2021-01-11,2024,"Massachusetts",-0.358246584283602,0.0516184853183579,0.093556497857949,-0.451803082141551,-0.264690086425653,1.81246112281168
"25",2021-01-11,2024,"Michigan",-0.117496473212936,0.0533262558079546,0.096651765477028,-0.214148238689964,-0.0208447077359075,1.81246112281168
"26",2021-01-11,2024,"Minnesota",-0.0577562476861959,0.0316697434031024,0.0574001786875447,-0.115156426373741,-0.000356068998651198,1.81246112281168
"27",2021-01-11,2024,"Mississippi",0.187928992318599,0.0474606320208029,0.0860205504017763,0.101908441916823,0.273949542720375,1.81246112281168
"28",2021-01-11,2024,"Missouri",0.118449004449382,0.0572232300116792,0.103714879717879,0.0147341247315033,0.222163884167261,1.81246112281168
"29",2021-01-11,2024,"Montana",0.149618689563709,0.0620357719665297,0.112437424912946,0.0371812646507631,0.262056114476654,1.81246112281168
"30",2021-01-11,2024,"Nebraska",0.192379177426989,0.0528582933124592,0.0958036016470086,0.0965755757799799,0.288182779073997,1.81246112281168
"31",2021-01-11,2024,"Nevada",-0.132762915321852,0.0742134730862301,0.134509034757623,-0.267271950079474,0.00174611943577091,1.81246112281168
"32",2021-01-11,2024,"New Hampshire",-0.155890015938951,0.0731155028152255,0.132519006327424,-0.288409022266375,-0.0233710096115271,1.81246112281168
"33",2021-01-11,2024,"New Jersey",-0.245266266521218,0.0564088383993621,0.10223882658181,-0.347505093103029,-0.143027439939408,1.81246112281168
"34",2021-01-11,2024,"New Mexico",-0.161788845375732,0.0492710835492978,0.0893019234119081,-0.25109076878764,-0.0724869219638236,1.81246112281168
"35",2021-01-11,2024,"New York",-0.334931334289065,0.049757143420989,0.0901828880327073,-0.425114222321772,-0.244748446256358,1.81246112281168
"36",2021-01-11,2024,"North Carolina",0.0474422915069053,0.0593707382969065,0.107607154995769,-0.060164863488864,0.155049446502675,1.81246112281168
"37",2021-01-11,2024,"North Dakota",0.272000999531945,0.0743923757491707,0.13483328887897,0.137167710652975,0.406834288410915,1.81246112281168
"38",2021-01-11,2024,"Ohio",0.00680562882534019,0.0473323807632051,0.0857880999834285,-0.0789824711580883,0.0925937288087687,1.81246112281168
