"","run_date","cycle","state","party","vote_share_mu","vote_share_se","vote_share_t_dist","vote_share_start","vote_share_end","vote_share_z"
"1",2021-02-12,2024,"Alabama","dem",0.367403158809531,0.0246244698357208,0.0428368933522526,0.324566265457278,0.410240052161784,1.73960672607507
"2",2021-02-12,2024,"Alabama","rep",0.643878741466182,0.0226591228720102,0.0394179625551105,0.604460778911071,0.683296704021292,1.73960672607507
"3",2021-02-12,2024,"Alabama","other",-0.0210524495693969,0.0315413868355757,0.0548696086889033,-0.0759220582583002,0.0338171591195064,1.73960672607507
"4",2021-02-12,2024,"Arizona","dem",0.481477390694134,0.0135427715155279,0.0235590964181102,0.457918294276024,0.505036487112244,1.73960672607507
"5",2021-02-12,2024,"Arizona","rep",0.489925181515057,0.0187155209967965,0.0325576462080264,0.457367535307031,0.522482827723084,1.73960672607507
"6",2021-02-12,2024,"Arizona","other",0.0283184049271996,0.0196431823398382,0.0341714121199017,-0.00585300719270204,0.0624898170471013,1.73960672607507
"7",2021-02-12,2024,"Arkansas","dem",0.340138452299599,0.0210611007143624,0.0366380324612493,0.30350041983835,0.376776484760848,1.73960672607507
"8",2021-02-12,2024,"Arkansas","rep",0.632275021631618,0.0250868246393087,0.0436412088784073,0.588633812753211,0.675916230510025,1.73960672607507
"9",2021-02-12,2024,"Arkansas","other",0.0273066969174012,0.0167563423420241,0.0291494458426016,-0.00184274892520041,0.0564561427600028,1.73960672607507
"10",2021-02-12,2024,"California","dem",0.646081691767673,0.0132973495763175,0.0231321587619335,0.62294953300574,0.669213850529607,1.73960672607507
"11",2021-02-12,2024,"California","rep",0.319684427464504,0.0160596316288579,0.0279374431998491,0.291746984264655,0.347621870664353,1.73960672607507
"12",2021-02-12,2024,"California","other",0.0340936781085333,0.0167521264288935,0.0291421118117632,0.0049515662967701,0.0632357899202964,1.73960672607507
"13",2021-02-12,2024,"Colorado","dem",0.538184904280406,0.0168724844477507,0.0293514874309041,0.508833416849502,0.56753639171131,1.73960672607507
"14",2021-02-12,2024,"Colorado","rep",0.420330435446594,0.017211784818926,0.0299417366387605,0.390388698807834,0.450272172085355,1.73960672607507
"15",2021-02-12,2024,"Colorado","other",0.0412831200612225,0.0192893569266949,0.0335558950513412,0.00772722500988129,0.0748390151125637,1.73960672607507
"16",2021-02-12,2024,"Connecticut","dem",0.599028010649948,0.0171662220316347,0.0298624753075298,0.569165535342418,0.628890485957478,1.73960672607507
"17",2021-02-12,2024,"Connecticut","rep",0.3779699494043,0.0183367529804746,0.0318987388192107,0.34607121058509,0.409868688223511,1.73960672607507
"18",2021-02-12,2024,"Connecticut","other",0.022892227936737,0.0181478372987723,0.0315700998286604,-0.00867787189192346,0.0544623277653974,1.73960672607507
"19",2021-02-12,2024,"Delaware","dem",0.593279086182466,0.0168565595451625,0.0293237843632497,0.563955301819217,0.622602870545716,1.73960672607507
"20",2021-02-12,2024,"Delaware","rep",0.383414310618944,0.0178941546155657,0.0311287917266654,0.352285518892279,0.414543102345609,1.73960672607507
"21",2021-02-12,2024,"Delaware","other",0.023224190441874,0.0174674293957441,0.0303864576640778,-0.00716226722220383,0.0536106481059517,1.73960672607507
"22",2021-02-12,2024,"Florida","dem",0.500747258539052,0.0150657876387304,0.0262085455099541,0.474538713029097,0.526955804049006,1.73960672607507
"23",2021-02-12,2024,"Florida","rep",0.491245403861424,0.0197854058428098,0.0344188250822769,0.456826578779147,0.525664228943701,1.73960672607507
"24",2021-02-12,2024,"Florida","other",0.00790453333331032,0.0181047280272948,0.0314951066500419,-0.0235905733167316,0.0393996399833522,1.73960672607507
"25",2021-02-12,2024,"Georgia","dem",0.463480208759944,0.0222359872041615,0.0386818729012786,0.424798335858666,0.502162081661223,1.73960672607507
"26",2021-02-12,2024,"Georgia","rep",0.527573089004136,0.0244478821775501,0.0425297002743571,0.485043388729779,0.570102789278493,1.73960672607507
"27",2021-02-12,2024,"Georgia","other",0.00879903087001965,0.0186048101321747,0.0323650528432808,-0.0235660219732612,0.0411640837133005,1.73960672607507
"28",2021-02-12,2024,"Idaho","dem",0.307573108505492,0.0152371990022856,0.0265067338709204,0.281066374634572,0.334079842376412,1.73960672607507
"29",2021-02-12,2024,"Idaho","rep",0.634188884999566,0.0224306914457244,0.0390205817094968,0.59516830329007,0.673209466709063,1.73960672607507
"30",2021-02-12,2024,"Idaho","other",0.0577149824083613,0.0255699079464854,0.0444815838488264,0.0132333985595348,0.102196566257188,1.73960672607507
"31",2021-02-12,2024,"Illinois","dem",0.595858344911571,0.0126077826012332,0.0219325834139976,0.573925761497573,0.617790928325569,1.73960672607507
"32",2021-02-12,2024,"Illinois","rep",0.376867102461702,0.0156212698022457,0.0271748660178201,0.349692236443882,0.404041968479522,1.73960672607507
"33",2021-02-12,2024,"Illinois","other",0.0271560260312499,0.0140868667258985,0.0245056081056962,0.0026504179255537,0.0516616341369461,1.73960672607507
"34",2021-02-12,2024,"Indiana","dem",0.414574778591438,0.0153649961327613,0.026729050618669,0.387845727972769,0.441303829210107,1.73960672607507
"35",2021-02-12,2024,"Indiana","rep",0.557944279516557,0.017881553357694,0.0311068704937148,0.526837409022842,0.589051150010272,1.73960672607507
"36",2021-02-12,2024,"Indiana","other",0.0272093410910254,0.016722190184964,0.02909003452047,-0.00188069342944462,0.0562993756114953,1.73960672607507
"37",2021-02-12,2024,"Iowa","dem",0.469038085876023,0.0181920238692915,0.0316469670839377,0.437391118792086,0.500685052959961,1.73960672607507
