"","run_date","state","party","national_correlation"
"102",2021-02-12,"Nevada","other",0.961367369443763
"103",2021-02-12,"New Hampshire","dem",0.919648224109306
"104",2021-02-12,"New Hampshire","rep",0.920637723409364
"105",2021-02-12,"New Hampshire","other",0.862846908770177
"106",2021-02-12,"New Jersey","dem",0.904935130001889
"107",2021-02-12,"New Jersey","rep",0.88624100932699
"108",2021-02-12,"New Jersey","other",0.974160615759173
"109",2021-02-12,"New Mexico","dem",0.93023191781262
"110",2021-02-12,"New Mexico","rep",0.890263517357213
"111",2021-02-12,"New Mexico","other",0.888814395752952
"112",2021-02-12,"New York","dem",0.840362033031701
"113",2021-02-12,"New York","rep",0.85683967434909
"114",2021-02-12,"New York","other",0.906367183498442
"115",2021-02-12,"North Carolina","dem",0.633318543170659
"116",2021-02-12,"North Carolina","rep",0.668921573134904
"117",2021-02-12,"North Carolina","other",0.792191971854667
"118",2021-02-12,"North Dakota","dem",0.645352090213717
"119",2021-02-12,"North Dakota","rep",0.756771831057843
"120",2021-02-12,"North Dakota","other",0.902136548199188
"121",2021-02-12,"Ohio","dem",0.944325656649626
"122",2021-02-12,"Ohio","rep",0.949242016517952
"123",2021-02-12,"Ohio","other",0.973558004566707
"124",2021-02-12,"Oklahoma","dem",0.489387282333557
"125",2021-02-12,"Oklahoma","rep",0.62272639546191
"126",2021-02-12,"Oklahoma","other",0.952487837586972
"127",2021-02-12,"Oregon","dem",0.861490658256194
"128",2021-02-12,"Oregon","rep",0.807970030518774
"129",2021-02-12,"Oregon","other",0.881351257539343
"130",2021-02-12,"Pennsylvania","dem",0.932066100786558
"131",2021-02-12,"Pennsylvania","rep",0.929654791353778
"132",2021-02-12,"Pennsylvania","other",0.964427400059293
"133",2021-02-12,"Rhode Island","dem",0.85253174641522
"134",2021-02-12,"Rhode Island","rep",0.899907335281462
"135",2021-02-12,"Rhode Island","other",0.851103779687176
"136",2021-02-12,"South Carolina","dem",0.26240503875916
"137",2021-02-12,"South Carolina","rep",0.204443589931577
"138",2021-02-12,"South Carolina","other",0.291998313604302
"139",2021-02-12,"South Dakota","dem",0.470404581657516
"140",2021-02-12,"South Dakota","rep",0.656612281706338
"141",2021-02-12,"South Dakota","other",0.893413193934044
"142",2021-02-12,"Tennessee","dem",0.405490033042057
"143",2021-02-12,"Tennessee","rep",0.556825328766068
"144",2021-02-12,"Tennessee","other",0.685796827121941
"145",2021-02-12,"Texas","dem",0.659685062987804
"146",2021-02-12,"Texas","rep",0.69427280561578
"147",2021-02-12,"Texas","other",0.94532847283783
"148",2021-02-12,"Utah","dem",0.557529081588437
"149",2021-02-12,"Utah","rep",0.688756354796443
"150",2021-02-12,"Utah","other",0.742425230557057
"151",2021-02-12,"Vermont","dem",0.723009667046435
"152",2021-02-12,"Vermont","rep",0.690061031096328
"153",2021-02-12,"Vermont","other",0.80013775228784
"154",2021-02-12,"Virginia","dem",0.885191792676096
"155",2021-02-12,"Virginia","rep",0.860135164145759
"156",2021-02-12,"Virginia","other",0.839630190988284
"157",2021-02-12,"Washington","dem",0.898117024247907
"158",2021-02-12,"Washington","rep",0.903186198794937
"159",2021-02-12,"Washington","other",0.913783200672922
"160",2021-02-12,"West Virginia","dem",0.273971311175022
"161",2021-02-12,"West Virginia","rep",0.515439885166081
"162",2021-02-12,"West Virginia","other",0.949082327195908
"163",2021-02-12,"Wisconsin","dem",0.85274018137855
"164",2021-02-12,"Wisconsin","rep",0.862332110292633
"165",2021-02-12,"Wisconsin","other",0.94351815085253
"166",2021-02-12,"Wyoming","dem",0.423500751020606
"167",2021-02-12,"Wyoming","rep",0.669954805465035
"168",2021-02-12,"Wyoming","other",0.918817061225272
